NDC,Cellular Operator,Telecom Circles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7082,A,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7083,I,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7084,I,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7085,A,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7086,A,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7087,A,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7088,I,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089,I,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7090,I,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7091,A,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7092,I,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7093,A,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7094,V,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7095,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7096,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7097,C,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7098,C,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7099,U,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7102,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7103,$,$$,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7104,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7105,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7106,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7107,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7108,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7109,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7110,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7113,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7115,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7116,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7117,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7118,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7119,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7120,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7121,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7122,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7123,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7125,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7126,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7127,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7128,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7129,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7130,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7131,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7132,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7133,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7134,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7135,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7137,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7138,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7139,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7140,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7141,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7142,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7143,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7144,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7145,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7146,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7147,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7148,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7150,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7151,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7152,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7153,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7154,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7155,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7156,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7157,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7158,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7159,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7160,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7161,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7162,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7163,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7164,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7165,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7166,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7167,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7168,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7169,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7170,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7171,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7172,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7173,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7174,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7175,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7176,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7177,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7178,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7179,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7180,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7181,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7182,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7183,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7184,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7185,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7186,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7187,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7188,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7189,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7190,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7191,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7192,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7193,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7194,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7195,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7196,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7197,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7198,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7199,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7200,T,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7201,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7202,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7203,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7204,T,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7205,T,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7206,T,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7207,T,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7208,T,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7209,T,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7210,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7211,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7212,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7213,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7214,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7215,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7216,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7217,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7219,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7220,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7221,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7222,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7223,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7224,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7225,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7226,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7227,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7228,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7229,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7230,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7231,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7232,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7233,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7234,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7235,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7236,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7237,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7238,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7239,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7240,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7241,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7242,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7243,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7244,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7246,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7247,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7248,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7249,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7250,A,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7251,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7252,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7253,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7254,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7255,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7256,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7257,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7258,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7259,A,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7260,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7261,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7262,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7263,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7264,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7265,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7266,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7267,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7268,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7269,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7270,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7271,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7272,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
